Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
spine,AVD-VEOS1,Ethernet1,172.31.255.8/31,l3leaf,AVD-VEOS3,Ethernet1,172.31.255.9/31
spine,AVD-VEOS1,Ethernet2,172.31.255.12/31,l3leaf,AVD-VEOS4,Ethernet1,172.31.255.13/31
spine,AVD-VEOS1,Ethernet3,172.31.255.16/31,l3leaf,AVD-VEOS5,Ethernet1,172.31.255.17/31
spine,AVD-VEOS1,Ethernet4,172.31.255.20/31,l3leaf,AVD-VEOS6,Ethernet1,172.31.255.21/31
spine,AVD-VEOS1,Ethernet5,172.31.255.24/31,l3leaf,AVD-VEOS7,Ethernet1,172.31.255.25/31
spine,AVD-VEOS1,Ethernet6,172.31.255.28/31,l3leaf,AVD-VEOS8,Ethernet1,172.31.255.29/31
spine,AVD-VEOS2,Ethernet1,172.31.255.10/31,l3leaf,AVD-VEOS3,Ethernet2,172.31.255.11/31
spine,AVD-VEOS2,Ethernet2,172.31.255.14/31,l3leaf,AVD-VEOS4,Ethernet2,172.31.255.15/31
spine,AVD-VEOS2,Ethernet3,172.31.255.18/31,l3leaf,AVD-VEOS5,Ethernet2,172.31.255.19/31
spine,AVD-VEOS2,Ethernet4,172.31.255.22/31,l3leaf,AVD-VEOS6,Ethernet2,172.31.255.23/31
spine,AVD-VEOS2,Ethernet5,172.31.255.26/31,l3leaf,AVD-VEOS7,Ethernet2,172.31.255.27/31
spine,AVD-VEOS2,Ethernet6,172.31.255.30/31,l3leaf,AVD-VEOS8,Ethernet2,172.31.255.31/31
