Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
spine,AVD-VEOS1,Ethernet1,l3leaf,AVD-VEOS3,Ethernet1,True
spine,AVD-VEOS1,Ethernet2,l3leaf,AVD-VEOS4,Ethernet1,True
spine,AVD-VEOS1,Ethernet3,l3leaf,AVD-VEOS5,Ethernet1,True
spine,AVD-VEOS1,Ethernet4,l3leaf,AVD-VEOS6,Ethernet1,True
spine,AVD-VEOS1,Ethernet5,l3leaf,AVD-VEOS7,Ethernet1,True
spine,AVD-VEOS1,Ethernet6,l3leaf,AVD-VEOS8,Ethernet1,True
spine,AVD-VEOS2,Ethernet1,l3leaf,AVD-VEOS3,Ethernet2,True
spine,AVD-VEOS2,Ethernet2,l3leaf,AVD-VEOS4,Ethernet2,True
spine,AVD-VEOS2,Ethernet3,l3leaf,AVD-VEOS5,Ethernet2,True
spine,AVD-VEOS2,Ethernet4,l3leaf,AVD-VEOS6,Ethernet2,True
spine,AVD-VEOS2,Ethernet5,l3leaf,AVD-VEOS7,Ethernet2,True
spine,AVD-VEOS2,Ethernet6,l3leaf,AVD-VEOS8,Ethernet2,True
l3leaf,AVD-VEOS3,Ethernet1,spine,AVD-VEOS1,Ethernet1,True
l3leaf,AVD-VEOS3,Ethernet2,spine,AVD-VEOS2,Ethernet1,True
l3leaf,AVD-VEOS3,Ethernet3,mlag_peer,AVD-VEOS4,Ethernet3,True
l3leaf,AVD-VEOS3,Ethernet4,mlag_peer,AVD-VEOS4,Ethernet4,True
l3leaf,AVD-VEOS3,Ethernet6,router,switch30,Gi0/0,True
l3leaf,AVD-VEOS4,Ethernet1,spine,AVD-VEOS1,Ethernet2,True
l3leaf,AVD-VEOS4,Ethernet2,spine,AVD-VEOS2,Ethernet2,True
l3leaf,AVD-VEOS4,Ethernet3,mlag_peer,AVD-VEOS3,Ethernet3,True
l3leaf,AVD-VEOS4,Ethernet4,mlag_peer,AVD-VEOS3,Ethernet4,True
l3leaf,AVD-VEOS4,Ethernet6,router,switch30,Gi0/1,True
l3leaf,AVD-VEOS5,Ethernet1,spine,AVD-VEOS1,Ethernet3,True
l3leaf,AVD-VEOS5,Ethernet2,spine,AVD-VEOS2,Ethernet3,True
l3leaf,AVD-VEOS5,Ethernet3,mlag_peer,AVD-VEOS6,Ethernet3,True
l3leaf,AVD-VEOS5,Ethernet4,mlag_peer,AVD-VEOS6,Ethernet4,True
l3leaf,AVD-VEOS5,Ethernet6,router,switch31,Gi0/0,True
l3leaf,AVD-VEOS6,Ethernet1,spine,AVD-VEOS1,Ethernet4,True
l3leaf,AVD-VEOS6,Ethernet2,spine,AVD-VEOS2,Ethernet4,True
l3leaf,AVD-VEOS6,Ethernet3,mlag_peer,AVD-VEOS5,Ethernet3,True
l3leaf,AVD-VEOS6,Ethernet4,mlag_peer,AVD-VEOS5,Ethernet4,True
l3leaf,AVD-VEOS6,Ethernet6,router,switch31,Gi0/1,True
l3leaf,AVD-VEOS7,Ethernet1,spine,AVD-VEOS1,Ethernet5,True
l3leaf,AVD-VEOS7,Ethernet2,spine,AVD-VEOS2,Ethernet5,True
l3leaf,AVD-VEOS7,Ethernet3,mlag_peer,AVD-VEOS8,Ethernet3,True
l3leaf,AVD-VEOS7,Ethernet4,mlag_peer,AVD-VEOS8,Ethernet4,True
l3leaf,AVD-VEOS7,Ethernet5,,,,True
l3leaf,AVD-VEOS7,Ethernet6,router,switch32,Gi0/0,True
l3leaf,AVD-VEOS8,Ethernet1,spine,AVD-VEOS1,Ethernet6,True
l3leaf,AVD-VEOS8,Ethernet2,spine,AVD-VEOS2,Ethernet6,True
l3leaf,AVD-VEOS8,Ethernet3,mlag_peer,AVD-VEOS7,Ethernet3,True
l3leaf,AVD-VEOS8,Ethernet4,mlag_peer,AVD-VEOS7,Ethernet4,True
l3leaf,AVD-VEOS8,Ethernet5,,,,True
l3leaf,AVD-VEOS8,Ethernet6,router,switch32,Gi0/1,True
