test_id,node,test_category,test_description,test,result,failure_reason
1,AVD-VEOS1,NTP,Synchronised with NTP server,NTP,PASS,
2,AVD-VEOS2,NTP,Synchronised with NTP server,NTP,PASS,
3,AVD-VEOS3,NTP,Synchronised with NTP server,NTP,PASS,
4,AVD-VEOS4,NTP,Synchronised with NTP server,NTP,PASS,
5,AVD-VEOS5,NTP,Synchronised with NTP server,NTP,PASS,
6,AVD-VEOS6,NTP,Synchronised with NTP server,NTP,PASS,
7,AVD-VEOS7,NTP,Synchronised with NTP server,NTP,PASS,
8,AVD-VEOS8,NTP,Synchronised with NTP server,NTP,PASS,
9,AVD-VEOS1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_AVD-VEOS3_Ethernet1,PASS,
10,AVD-VEOS1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_AVD-VEOS4_Ethernet1,PASS,
11,AVD-VEOS1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_AVD-VEOS5_Ethernet1,PASS,
12,AVD-VEOS1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_AVD-VEOS6_Ethernet1,PASS,
13,AVD-VEOS1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_AVD-VEOS7_Ethernet1,PASS,
14,AVD-VEOS1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - P2P_LINK_TO_AVD-VEOS8_Ethernet1,PASS,
15,AVD-VEOS2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_AVD-VEOS3_Ethernet2,PASS,
16,AVD-VEOS2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_AVD-VEOS4_Ethernet2,PASS,
17,AVD-VEOS2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_AVD-VEOS5_Ethernet2,PASS,
18,AVD-VEOS2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_AVD-VEOS6_Ethernet2,PASS,
19,AVD-VEOS2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_AVD-VEOS7_Ethernet2,PASS,
20,AVD-VEOS2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - P2P_LINK_TO_AVD-VEOS8_Ethernet2,PASS,
21,AVD-VEOS3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - MLAG_PEER_AVD-VEOS4_Ethernet3,PASS,
22,AVD-VEOS3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - MLAG_PEER_AVD-VEOS4_Ethernet4,PASS,
23,AVD-VEOS3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_AVD-VEOS1_Ethernet1,PASS,
24,AVD-VEOS3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_AVD-VEOS2_Ethernet1,PASS,
25,AVD-VEOS3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - switch30_Gi0/0,PASS,
26,AVD-VEOS4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - MLAG_PEER_AVD-VEOS3_Ethernet3,PASS,
27,AVD-VEOS4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - MLAG_PEER_AVD-VEOS3_Ethernet4,PASS,
28,AVD-VEOS4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_AVD-VEOS1_Ethernet2,PASS,
29,AVD-VEOS4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_AVD-VEOS2_Ethernet2,PASS,
30,AVD-VEOS4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - switch30_Gi0/1,PASS,
31,AVD-VEOS5,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - MLAG_PEER_AVD-VEOS6_Ethernet3,PASS,
32,AVD-VEOS5,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - MLAG_PEER_AVD-VEOS6_Ethernet4,PASS,
33,AVD-VEOS5,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_AVD-VEOS1_Ethernet3,PASS,
34,AVD-VEOS5,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_AVD-VEOS2_Ethernet3,PASS,
35,AVD-VEOS5,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - switch31_Gi0/0,PASS,
36,AVD-VEOS6,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - MLAG_PEER_AVD-VEOS5_Ethernet3,PASS,
37,AVD-VEOS6,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - MLAG_PEER_AVD-VEOS5_Ethernet4,PASS,
