test_id,node,test_category,test_description,test,result,failure_reason
1,AS-DCI1,NTP,Synchronised with NTP server,NTP,PASS,
2,AS-DCI2,NTP,Synchronised with NTP server,NTP,PASS,
3,AS-LEAF1,NTP,Synchronised with NTP server,NTP,PASS,
4,AS-LEAF2,NTP,Synchronised with NTP server,NTP,PASS,
5,AS-LEAF3,NTP,Synchronised with NTP server,NTP,PASS,
6,AS-SPINE1,NTP,Synchronised with NTP server,NTP,PASS,
7,AS-SPINE2,NTP,Synchronised with NTP server,NTP,PASS,
8,AS-DCI1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - MLAG_PEER_AS-DCI2_Ethernet3,PASS,
9,AS-DCI1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - MLAG_PEER_AS-DCI2_Ethernet4,PASS,
10,AS-DCI1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_AS-SPINE1_Ethernet3,PASS,
11,AS-DCI1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_AS-SPINE2_Ethernet3,PASS,
12,AS-DCI1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_SJ-DCI1_Ethernet5,PASS,
13,AS-DCI2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - MLAG_PEER_AS-DCI1_Ethernet3,PASS,
14,AS-DCI2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - MLAG_PEER_AS-DCI1_Ethernet4,PASS,
15,AS-DCI2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_AS-SPINE1_Ethernet4,PASS,
16,AS-DCI2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_AS-SPINE2_Ethernet4,PASS,
17,AS-DCI2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_SJ-DCI2_Ethernet5,PASS,
18,AS-LEAF1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - MLAG_PEER_AS-LEAF2_Ethernet3,PASS,
19,AS-LEAF1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - MLAG_PEER_AS-LEAF2_Ethernet4,PASS,
20,AS-LEAF1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_AS-SPINE1_Ethernet1,PASS,
21,AS-LEAF1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_AS-SPINE2_Ethernet1,PASS,
22,AS-LEAF1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - endpoint20_e0,PASS,
23,AS-LEAF2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - MLAG_PEER_AS-LEAF1_Ethernet3,PASS,
24,AS-LEAF2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - MLAG_PEER_AS-LEAF1_Ethernet4,PASS,
25,AS-LEAF2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_AS-SPINE1_Ethernet2,PASS,
26,AS-LEAF2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_AS-SPINE2_Ethernet2,PASS,
27,AS-LEAF2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - endpoint20_e1,PASS,
28,AS-LEAF3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - MLAG_PEER_AS-LEAF4_Ethernet3,PASS,
29,AS-LEAF3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - MLAG_PEER_AS-LEAF4_Ethernet4,PASS,
30,AS-LEAF3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_AS-SPINE1_Ethernet5,PASS,
31,AS-LEAF3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_AS-SPINE2_Ethernet5,PASS,
32,AS-LEAF3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - endpoint21_e0,PASS,
33,AS-SPINE1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_AS-LEAF1_Ethernet1,PASS,
34,AS-SPINE1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_AS-LEAF2_Ethernet1,PASS,
35,AS-SPINE1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_AS-DCI1_Ethernet1,PASS,
36,AS-SPINE1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_AS-DCI2_Ethernet1,PASS,
37,AS-SPINE1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_AS-LEAF3_Ethernet1,PASS,
38,AS-SPINE1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - P2P_LINK_TO_AS-LEAF4_Ethernet1,PASS,
39,AS-SPINE2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_AS-LEAF1_Ethernet2,PASS,
40,AS-SPINE2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_AS-LEAF2_Ethernet2,PASS,
41,AS-SPINE2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_AS-DCI1_Ethernet2,PASS,
42,AS-SPINE2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_AS-DCI2_Ethernet2,PASS,
43,AS-SPINE2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_AS-LEAF3_Ethernet2,PASS,
44,AS-SPINE2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - P2P_LINK_TO_AS-LEAF4_Ethernet2,PASS,
45,AS-DCI1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel3 - MLAG_PEER_AS-DCI2_Po3,PASS,
46,AS-DCI2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel3 - MLAG_PEER_AS-DCI1_Po3,PASS,
47,AS-LEAF1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel3 - MLAG_PEER_AS-LEAF2_Po3,PASS,
48,AS-LEAF2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel3 - MLAG_PEER_AS-LEAF1_Po3,PASS,
49,AS-LEAF3,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel3 - MLAG_PEER_AS-LEAF4_Po3,PASS,
50,AS-DCI1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
51,AS-DCI1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
52,AS-DCI1,Interface State,Vlan Interface & Line Protocol == "up",Vlan110 - Used for Testing,PASS,
53,AS-DCI1,Interface State,Vlan Interface & Line Protocol == "up",Vlan120 - Not in use,PASS,
54,AS-DCI1,Interface State,Vlan Interface & Line Protocol == "up",Vlan3019 - MLAG_PEER_L3_iBGP: vrf DEV,PASS,
55,AS-DCI1,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - Used for Testing,PASS,
56,AS-DCI1,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Not in use,PASS,
57,AS-DCI1,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf PROD,PASS,
58,AS-DCI2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
59,AS-DCI2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
60,AS-DCI2,Interface State,Vlan Interface & Line Protocol == "up",Vlan110 - Used for Testing,PASS,
61,AS-DCI2,Interface State,Vlan Interface & Line Protocol == "up",Vlan120 - Not in use,PASS,
62,AS-DCI2,Interface State,Vlan Interface & Line Protocol == "up",Vlan3019 - MLAG_PEER_L3_iBGP: vrf DEV,PASS,
63,AS-DCI2,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - Used for Testing,PASS,
64,AS-DCI2,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Not in use,PASS,
65,AS-DCI2,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf PROD,PASS,
66,AS-LEAF1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
67,AS-LEAF1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
68,AS-LEAF1,Interface State,Vlan Interface & Line Protocol == "up",Vlan110 - Used for Testing,PASS,
69,AS-LEAF1,Interface State,Vlan Interface & Line Protocol == "up",Vlan120 - Not in use,PASS,
70,AS-LEAF1,Interface State,Vlan Interface & Line Protocol == "up",Vlan3019 - MLAG_PEER_L3_iBGP: vrf DEV,PASS,
